,datadate,sentiment
3124,20130606,-0.016764999999999995
3125,20130607,-0.03601818181818182
3126,20130610,0.02932857142857144
3127,20130611,0.10283333333333333
3128,20130612,0.15723076923076923
3129,20130613,0.062264705882352944
3130,20130614,0.09643750000000001
3131,20130617,0.02465714285714286
3132,20130618,-0.0460470588235294
3133,20130619,-0.12487894736842105
3134,20130620,0.05115217391304348
3135,20130621,-0.016738461538461542
3136,20130624,0.03895454545454547
3137,20130625,0.014840909090909089
3138,20130626,-0.001986206896551716
3139,20130627,-0.07578695652173914
3140,20130628,-0.08826666666666666
3141,20130701,-0.06909473684210526
3142,20130702,-0.003238888888888886
3143,20130703,0.05030416666666666
3144,20130705,0.00016875000000000223
3145,20130708,0.0397764705882353
3146,20130709,0.09218571428571429
3147,20130710,0.025752173913043484
3148,20130711,-0.02314
3149,20130712,0.10610000000000001
3150,20130715,0.041191304347826085
3151,20130716,0.07085000000000001
3152,20130717,0.034673333333333334
3153,20130718,-0.0053352941176470605
3154,20130719,-0.0036888888888888896
3155,20130722,-0.09078400000000002
3156,20130723,0.11745714285714286
3157,20130724,0.04497083333333335
3158,20130725,0.11246315789473682
3159,20130726,0.14940833333333334
3160,20130729,-0.007192000000000003
3161,20130730,0.06673529411764706
3162,20130731,0.09428125000000001
3163,20130801,0.15117499999999998
3164,20130802,0.024154545454545453
3165,20130805,-0.04724999999999999
3166,20130806,0.07176153846153846
3167,20130807,0.07758999999999999
3168,20130808,0.10985862068965514
3169,20130809,-0.08864615384615385
3170,20130812,-0.14959999999999998
3171,20130813,0.06922
3172,20130814,0.09671363636363638
3173,20130815,0.13993
3174,20130816,0.047771428571428576
3175,20130819,0.09444
3176,20130820,-0.031209090909090905
3177,20130821,0.11957058823529412
3178,20130822,-0.060750000000000005
3179,20130823,-0.05676363636363635
3180,20130826,0.02897777777777777
3181,20130827,0.004409090909090905
3182,20130828,0.13957692307692307
3183,20130829,0.07075
3184,20130830,0.015170588235294116
3185,20130903,0.06707142857142856
3186,20130904,0.008866666666666667
3187,20130905,-0.007608333333333332
3188,20130906,0.09974736842105263
3189,20130909,0.15702631578947368
3190,20130910,0.10432999999999999
3191,20130911,0.1234655172413793
3192,20130912,0.10262173913043476
3193,20130913,0.09881999999999999
3194,20130916,0.16247499999999998
3195,20130917,0.061452631578947356
3196,20130918,0.04564374999999999
3197,20130919,-0.04490000000000001
3198,20130920,-0.09377499999999998
3199,20130923,0.03769411764705882
3200,20130924,0.028499999999999994
3201,20130925,0.059487500000000006
3202,20130926,-0.02938
3203,20130927,0.05263157894736842
3204,20130930,0.051579166666666655
3205,20131001,0.01571153846153846
3206,20131002,0.11912173913043479
3207,20131003,0.03720434782608696
3208,20131004,-0.01716875
3209,20131007,0.1060206896551724
3210,20131008,0.006889285714285711
3211,20131009,0.137308
3212,20131010,0.051926315789473695
3213,20131011,0.11213200000000001
3214,20131014,0.2074125
3215,20131015,0.035595
3216,20131016,0.020538888888888874
3217,20131017,-0.028800000000000013
3218,20131018,-0.024765000000000002
3219,20131021,0.08998
3220,20131022,0.030676000000000005
3221,20131023,-0.006540909090909092
3222,20131024,-0.043447619047619054
3223,20131025,0.09792142857142858
3224,20131028,0.11399200000000001
3225,20131029,0.012326315789473682
3226,20131030,0.09876666666666668
3227,20131031,0.044819230769230764
3228,20131101,0.03545263157894738
3229,20131104,0.13045625
3230,20131105,0.04593333333333333
3231,20131106,0.014822727272727267
3232,20131107,0.09976129032258065
3233,20131108,0.026005882352941184
3234,20131111,0.006786666666666674
3235,20131112,-0.13441999999999998
3236,20131113,0.015531578947368422
3237,20131114,0.07197500000000001
3238,20131115,0.06868333333333333
3239,20131118,0.17256500000000002
3240,20131119,0.11624285714285716
3241,20131120,0.23035789473684212
3242,20131121,-0.0016083333333333366
3243,20131122,0.034918518518518515
3244,20131125,-0.034342857142857154
3245,20131126,0.13043333333333332
3246,20131127,0.06565714285714284
3247,20131129,0.06053749999999999
3248,20131202,0.18374545454545457
3249,20131203,0.05037777777777779
3250,20131204,0.004144000000000005
3251,20131205,-0.01869583333333333
3252,20131206,-0.015068421052631573
3253,20131209,0.030008
3254,20131210,0.031196428571428573
3255,20131211,0.11971562499999999
3256,20131212,0.13816363636363638
3257,20131213,0.0527105263157895
3258,20131216,0.014777777777777775
3259,20131217,0.116616
3260,20131218,-0.08540416666666667
3261,20131219,0.037886486486486494
3262,20131220,-0.015067999999999993
3263,20131223,0.0345888888888889
3264,20131224,0.12184545454545453
3265,20131226,0.08325714285714285
3266,20131227,0.11078235294117647
3267,20131230,0.06451666666666667
3268,20131231,0.05182499999999998
3269,20140102,0.21617999999999998
3270,20140103,0.059492857142857125
3271,20140106,-0.028543478260869563
3272,20140107,0.17288571428571428
3273,20140108,0.10099047619047619
3274,20140109,0.06182121212121212
3275,20140110,0.022090476190476195
3276,20140113,0.06514545454545453
3277,20140114,0.0893
3278,20140115,0.04183913043478261
3279,20140116,-0.004505263157894737
3280,20140117,-0.028377272727272716
3281,20140121,0.048794444444444446
3282,20140122,0.10963750000000003
3283,20140123,-0.10918846153846153
3284,20140124,0.1969090909090909
